fare_id,price,currency_type,payment_method,transfers
z3_z1,7.00,USD,1,
z4_z1,7.75,USD,1,
z5_z1,8.25,USD,1,
z6_z1,10.00,USD,1,
z7_z1,11.00,USD,1,
z8_z1,11.50,USD,1,
z10_z1,14.50,USD,1,
z11_z1,15.75,USD,1,
z3_z2,6.25,USD,1,
z4_z2,7.50,USD,1,
z5_z2,8.00,USD,1,
z6_z2,9.00,USD,1,
z7_z2,10.25,USD,1,
z8_z2,11.00,USD,1,
z10_z2,13.50,USD,1,
z11_z2,14.75,USD,1,
z4_z3,4.75,USD,1,
z5_z3,6.75,USD,1,
z6_z3,8.00,USD,1,
z7_z3,9.00,USD,1,
z8_z3,10.00,USD,1,
z10_z3,12.25,USD,1,
z11_z3,13.50,USD,1,
z4_z4,4.50,USD,1,
z5_z4,5.00,USD,1,
z6_z4,7.25,USD,1,
z7_z4,8.25,USD,1,
z8_z4,9.00,USD,1,
z10_z4,11.50,USD,1,
z11_z4,13.00,USD,1,
z5_z5,4.50,USD,1,
z6_z5,7.00,USD,1,
z7_z5,8.00,USD,1,
z8_z5,8.25,USD,1,
z10_z5,11.00,USD,1,
z11_z5,12.25,USD,1,
z6_z6,4.50,USD,1,
z7_z6,7.00,USD,1,
z8_z6,7.25,USD,1,
z10_z6,10.00,USD,1,
z11_z6,11.00,USD,1,
z8_z7,5.00,USD,1,
z10_z7,8.25,USD,1,
z11_z7,10.00,USD,1,
z8_z8,4.25,USD,1,
z10_z8,7.25,USD,1,
z11_z8,8.25,USD,1,
z11_z10,7.00,USD,1,
