trip_id,arrival_time,departure_time,stop_id,stop_sequence
Extra-0719,07:19:00,07:19:00,s17,1
Extra-0719,07:23:00,07:23:00,s16,2
Extra-0719,07:33:00,07:33:00,s14,3
Extra-0719,07:40:00,07:40:00,s13,4
Extra-0719,07:45:00,07:45:00,s12,5
Extra-0719,07:58:00,07:58:00,s9,6
Extra-0719,08:03:00,08:03:00,s8,7
Extra-0719,08:07:00,08:07:00,s7,8
Extra-0719,08:29:00,08:29:00,s5,9
Extra-0719,08:39:00,08:39:00,s3,10
Extra-0719,08:42:00,08:42:00,s2,11
Extra-0719,08:44:00,08:44:00,s1,12
Extra-0729,07:29:00,07:29:00,s17,1
Extra-0729,07:33:00,07:33:00,s16,2
Extra-0729,07:43:00,07:43:00,s14,3
Extra-0729,07:50:00,07:50:00,s13,4
Extra-0729,07:55:00,07:55:00,s12,5
Extra-0729,08:08:00,08:08:00,s9,6
Extra-0729,08:13:00,08:13:00,s8,7
Extra-0729,08:17:00,08:17:00,s7,8
Extra-0729,08:39:00,08:39:00,s5,9
Extra-0729,08:49:00,08:49:00,s3,10
Extra-0729,08:52:00,08:52:00,s2,11
Extra-0729,08:54:00,08:54:00,s1,12
Extra-0831,08:31:00,08:31:00,s16,1
Extra-0831,08:41:00,08:41:00,s14,2
Extra-0831,08:48:00,08:48:00,s13,3
Extra-0831,08:53:00,08:53:00,s12,4
Extra-0831,09:06:00,09:06:00,s9,5
Extra-0831,09:11:00,09:11:00,s8,6
Extra-0831,09:15:00,09:15:00,s7,7
Extra-0831,09:37:00,09:37:00,s5,8
Extra-0831,09:47:00,09:47:00,s3,9
Extra-0831,09:50:00,09:50:00,s2,10
Extra-0831,09:52:00,09:52:00,s1,11
Extra-1525,15:25:00,15:25:00,s1,1
Extra-1525,15:28:00,15:28:00,s2,2
Extra-1525,15:55:00,15:55:00,s7,3
Extra-1525,15:59:00,15:59:00,s8,4
Extra-1525,16:04:00,16:04:00,s9,5
Extra-1525,16:09:00,16:09:00,s10,6
Extra-1525,16:15:00,16:15:00,s11,7
Extra-1525,16:20:00,16:20:00,s12,8
Extra-1525,16:25:00,16:25:00,s13,9
Extra-1525,16:32:00,16:32:00,s14,10
Extra-1525,16:37:00,16:37:00,s15,11
Extra-1525,16:43:00,16:43:00,s16,12
Extra-1525,16:49:00,16:49:00,s17,13
Extra-1702,17:02:00,17:02:00,s1,1
Extra-1702,17:05:00,17:05:00,s2,2
Extra-1702,17:32:00,17:32:00,s7,3
Extra-1702,17:36:00,17:36:00,s8,4
Extra-1702,17:41:00,17:41:00,s9,5
Extra-1702,17:46:00,17:46:00,s10,6
Extra-1702,17:52:00,17:52:00,s11,7
Extra-1702,17:57:00,17:57:00,s12,8
Extra-1702,18:02:00,18:02:00,s13,9
Extra-1702,18:09:00,18:09:00,s14,10
Extra-1702,18:14:00,18:14:00,s15,11
Extra-1702,18:20:00,18:20:00,s16,12
Extra-1702,18:26:00,18:26:00,s17,13
Extra-1804,18:04:00,18:04:00,s1,1
Extra-1804,18:07:00,18:07:00,s2,2
Extra-1804,18:34:00,18:34:00,s7,3
Extra-1804,18:38:00,18:38:00,s8,4
Extra-1804,18:43:00,18:43:00,s9,5
Extra-1804,18:48:00,18:48:00,s10,6
Extra-1804,18:54:00,18:54:00,s11,7
Extra-1804,18:59:00,18:59:00,s12,8
Extra-1804,19:04:00,19:04:00,s13,9
Extra-1804,19:11:00,19:11:00,s14,10
Extra-1804,19:16:00,19:16:00,s15,11
Extra-1804,19:22:00,19:22:00,s16,12
Extra-1804,19:28:00,19:28:00,s17,13
